atletas.apelido;atletas.atleta_id;atletas.preco_num;preco
Luiz Ot‡vio ;86863;5.26;5,26
Capa;86874;11.37;11,37
Rodrigo;86935;3.27;3,27
Eduardo Bauermann;86970;2.66;2,66
Emerson Santos;86972;0.78;0,78
Leonardo;86973;2.19;2,19
Caio C_sar;86974;3.23;3,23
L_o;87008;4.77;4,77
Beto da Silva;87028;3.1;3,1
Matheus Peixoto;87098;1.0;1
C’cero;87158;2.0;2
Zeca;87192;11.62;11,62
Eduardo Baptista;87211;8.83;8,83
Pedro Henrique;87225;9.55;9,55
Guilherme Arana;87228;9.97;9,97
Kannemann;87342;12.44;12,44
Buffarini;87350;7.28;7,28
Gabriel;87393;10.18;10,18
Rodrig‹o;87398;2.97;2,97
Ca’que S‡;87437;1.94;1,94
Matheus Reis;87486;4.54;4,54
Vitor Bueno;87552;9.29;9,29
Tr_llez;87679;7.84;7,84
L_o Santos;87743;3.0;3
Yago;87747;4.33;4,33
Zeballos;87859;3.0;3
Arrascaeta;87863;9.37;9,37
