,nome,slug,apelido,foto,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,clube.id.full.name,A,CA,FC,FD,FF,FS,FT,G,I,PE,RB,SG,CV,DD,GS,PP,GC,DP
437,Messias Rodrigues da Silva J£nior,messias,Messias,https://s.glbimg.com/es/sde/f/2018/05/07/983eb7f70f612711ba14e031cb3cfefe_FORMATO.png,87402,38,AME,3,2,0,8.61,0,2.32,AmÇrica-MG,,4.0,33.0,2.0,4.0,12.0,,1.0,1.0,53.0,35.0,11.0,1.0,,,,,
438,Lucas Perdomo Duarte Santos,lucas,Lucas,https://s.glbimg.com/es/sde/f/2018/03/28/e8c799411d6ba80da004148110333f35_FORMATO.png,88412,38,VAS,4,6,0,3.0,0,0,Vasco,,,,,,,,,,,,,,,,,,
439,F†bio Moreno,fabio-moreno,F†bio Moreno,https://s.glbimg.com/es/sde/f/2018/11/29/cb9636b82687b74801a5b39eb52a52aa_FORMATO.png,103746,38,FLU,6,7,6.48,11.23,0.61,6.48,Fluminense,,,,,,,,,,,,,,,,,,
440,Gabriel Veron Fonseca de Souza,veron,Veron,https://s.glbimg.com/es/sde/f/2018/11/30/c499e5770419f38b55930e24444f025e_FORMATO.png,103764,38,PAL,5,6,0,1.0,0,0,Palmeiras,,,,,,,,,,,,,,,,,,
441,Raphael Schorr Utzig,raphael-alemao,Raphael AlemÑo,https://s.glbimg.com/es/sde/f/2018/04/24/e72a3c4a24b0c21be12ae1fc78ee1755_FORMATO.jpeg,91206,38,PAR,5,6,0,2.1,0,0.48,Paran†,,1.0,7.0,5.0,2.0,6.0,,,,4.0,3.0,,1.0,,,,,
442,Thaciano Mickael da Silva,thaciano,Thaciano,https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png,87470,38,GRE,4,6,0,2.58,0,1.91,Gràmio,,3.0,16.0,7.0,3.0,7.0,,1.0,2.0,11.0,19.0,,,,,,,
443,Antìnio Josenildo Rodrigues de Oliveira,tonhao,TonhÑo,https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png,91251,38,GRE,3,6,0,2.0,0,0,Gràmio,,,,,,,,,,,,,,,,,,
444,Gabriel Silva Vieira,gabriel-silva,Gabriel Silva,https://s.glbimg.com/es/sde/f/2018/11/30/b5be7197489b8803ce3030e5b66d52cd_FORMATO.png,103766,38,PAL,4,6,0,1.0,0,0,Palmeiras,,,,,,,,,,,,,,,,,,
445,Lucas Estella Perri,lucas-perri,Lucas Perri,https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png,91260,38,SAO,1,6,0,1.0,0,0,SÑo Paulo,,,,,,,,,,,,,,,,,,
446,Leandro Vilela Sales Teixeira,leandro-vilela,Leandro Vilela,https://s.glbimg.com/es/sde/f/2018/03/21/9a68c6d8db51f7e6b517b1b536fcfece_FORMATO.png,88687,38,PAR,4,3,0,4.9,0,2.02,Paran†,1.0,9.0,62.0,4.0,13.0,31.0,,,,72.0,67.0,,1.0,,,,,
447,Matheus Gonáalves Savio,matheus-savio,Matheus Savio,https://s.glbimg.com/es/sde/f/2018/07/28/3a3a8b95d0a4f15553e2ab71957c0c0c_FORMATO.png,91264,38,FLA,4,6,0,4.27,0,2.26,Flamengo,,,4.0,2.0,3.0,1.0,,1.0,,10.0,2.0,,,,,,,
