,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
199,Joelson,101512,341,https://s.glbimg.com/es/sde/f/2019/03/23/55d863f2d8452ddc265570df15a5f65c_FORMATO.png,0,0.0,Joelson dos Santos Ferreira J£nior,0.0,4,1.0,20,{},joelson,6,0.0
200,Hugo Souza,101574,262,https://s.glbimg.com/es/sde/f/2018/08/17/0d62f2b958751f0744942f9328f49c39_FORMATO.png,0,0.0,Hugo de Souza Nogueira,0.0,1,1.0,20,{},hugo-souza,6,0.0
201,Robson Bambu,101579,293,https://s.glbimg.com/es/sde/f/2019/05/13/b7c71f1c725b014eefb9e6f275824bbd_FORMATO.png,4,3.12,Robson Alves de Barros,0.0,3,4.97,20,"{'FC': 7, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 6, 'RB': 3, 'SG': 2}",robson-bambu,6,0.0
202,Welligton Rocha,105846,293,https://s.glbimg.com/es/sde/f/2019/07/02/843445f395749c41979be87eb844e960_FORMATO.png,0,0.0,Welligton Alexandre da Rocha,0.0,3,1.0,20,{},welligton-rocha,6,0.0
203,Edu,105842,283,https://s.glbimg.com/es/sde/f/2019/07/18/6c7a7b500c63cbeedb854741dd824c24_FORMATO.png,0,0.0,Lucas Eduardo Ribeiro de Souza,0.0,3,1.0,20,{},edu,6,0.0
204,Iv†n Angulo,105841,275,https://s.glbimg.com/es/sde/f/2019/07/02/731398bec297fdd7b71603f1da8e4c61_FORMATO.jpeg,0,0.0,Iv†n Dar°o Angulo CortÇs,0.0,5,4.0,20,{},ivan-angulo,6,0.0
205,JoÑo Celeri,105866,264,https://s.glbimg.com/es/sde/f/2019/07/03/df3e2976f554f7c9bc6610fdaabf10be_FORMATO.jpeg,0,0.0,JoÑo Pedro Celeri Machado,0.0,5,1.0,20,{},joao-celeri,6,0.0
206,Pepà,101573,262,https://s.glbimg.com/es/sde/f/2019/09/17/de8685a803460f7315f97750700ea848_FORMATO.png,0,0.0,JoÑo Pedro Vilardi Pinto,0.0,4,2.0,20,{},pepe,6,0.0
207,Pablo Mar°,105897,262,https://s.glbimg.com/es/sde/f/2019/09/03/1c1cfac03ef195141cea264e047d9855_FORMATO.png,9,5.21,Pablo Mar° Villar,1.8,3,7.05,20,"{'CA': 2, 'FC': 12, 'FF': 1, 'FS': 1, 'G': 2, 'I': 1, 'PE': 13, 'RB': 16, 'SG': 4}",pablo-mari,7,-0.49
208,Vitor Gabriel,101596,262,https://s.glbimg.com/es/sde/f/2019/04/26/1625dafb7038f8b8c6201f97b0f5730d_FORMATO.png,0,0.0,Vitor Gabriel Claudino Rego Ferreira,0.0,5,2.0,20,{},vitor-gabriel,6,0.0
209,Lucas Lourenáo,101580,277,https://s.glbimg.com/es/sde/f/2018/03/21/f7982f701870b51a5c2699877f0f30c6_FORMATO.png,0,0.0,Lucas Lourenáo Andrade,0.0,4,2.0,20,{},lucas-lourenco,6,0.0
210,Allanzinho,105900,277,https://s.glbimg.com/es/sde/f/2019/07/12/05fd85c1a9c37ca643ddd1e7deadb017_FORMATO.png,0,0.0,Allan Victor Oliveira Mota,0.0,5,1.0,20,{},allanzinho,6,0.0
211,Matheus Dantas,101592,262,https://s.glbimg.com/es/sde/f/2019/04/26/598e69e78ec9ae7d5fe95d527c68781b_FORMATO.png,1,-0.6,Matheus de Jesus Dantas,0.0,3,1.25,20,"{'FS': 1, 'I': 1, 'PE': 2}",matheus-dantas,6,0.0
212,Hugo Moura,101594,262,https://s.glbimg.com/es/sde/f/2019/04/26/715d1c48df5b307209cb6157de7d8965_FORMATO.png,1,0.3,Hugo Moura Arruda da Silva,0.0,4,2.97,20,"{'A': 1, 'CA': 1, 'FC': 1, 'PE': 3, 'RB': 2}",hugo-moura,6,0.0
213,Ivonei,105899,277,https://s.glbimg.com/es/sde/f/2019/07/12/ef3b35e88638d6c7d549f670a28a9668_FORMATO.png,0,0.0,Ivonei J£nior da Silva Rabelo,0.0,4,1.0,20,{},ivonei,6,0.0
214,Ramon,101597,262,,0,0.0,Ramon Ramos Lima,0.0,2,2.0,20,{},ramon,6,0.0
215,Edson,105901,265,,0,0.0,Edson Fernando da Silva Gomes,0.0,4,1.0,20,{},edson,6,0.0
